TITLE,LINK,DESCRIPTIONS,SPEAKERS,LOCATIONS,TIME
Tracking campaign finance,http://ire.org/events-and-training/event/975/1504/,"Presented by the Center for Responsive Politics and the Institute for National Money in State Politics
Learn how to use two free, online tools that allow you to dig in on campaign donations, from the state to the federal level: Opensecrets.org and Followthemoney.org. These sites will allow you to provide a whole new level to your election coverage.Presented by the Center for Responsive Politics and the Institute for National Money in State PoliticsLearn how to use two free, online tools that allow you to dig in on campaign donations, from the state to the federal level: Opensecrets.org and Followthemoney.org. These sites will allow you to provide a whole new level to your election coverage.",TBA,Nob Hill AB,9:40 a.m. - 10:40 a.m.
Broadcast: More personality,http://ire.org/events-and-training/event/975/1405/,"Keep your audience’s attention, increase your investigation’s impact, and grow your social media footprint by exposing the reporter telling the story.
Network and large market panelists explore the use of reporter personality in investigative reporting.Keep your audience’s attention, increase your investigation’s impact, and grow your social media footprint by exposing the reporter telling the story.Network and large market panelists explore the use of reporter personality in investigative reporting.","Russ Ptacek, Gerry Wagschal, Jeremy Jojola",Golden Gate B,9:40 a.m. - 10:40 a.m.
The art of storytelling: Deadly neglect,http://ire.org/events-and-training/event/975/1351/,"Sam Roe, a Pulitzer Prize winner and three-time Pulitzer finalist, shows how to identify the narrative in an investigation, how to flesh it out with reporting and writing, and how to organize it to maximize impact and suspense. He’ll focus on “Deadly Neglect,” a story that started out as a run-of-the-mill nursing home project but gained power when Roe zeroed in on the agonizing ordeal of a 9-year-old boy. 
If you plan to attend this panel, please read the following story in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices.
Deadly neglectSam Roe, a Pulitzer Prize winner and three-time Pulitzer finalist, shows how to identify the narrative in an investigation, how to flesh it out with reporting and writing, and how to organize it to maximize impact and suspense. He’ll focus on “Deadly Neglect,” a story that started out as a run-of-the-mill nursing home project but gained power when Roe zeroed in on the agonizing ordeal of a 9-year-old boy. If you plan to attend this panel, please read the following story in advance. We’d like attendees to be familiar with the project, which should lead to a more robust discussion of the story-telling choices.Deadly neglect",Sam Roe,Club Room,9:40 a.m. - 10:40 a.m.
Managers track: Building and protecting the watchdog brand,http://ire.org/events-and-training/event/975/1303/,"*Moderated by Manny Garcia, Naples Daily News
Three award-winning newsroom leaders provide practical advice – and take your questions – on how to deliver greater investigative stories and protect your franchise at a time when news operations face disruptions and other competitive challenges. Among the topics:  growing your I-team, identifying the project with impact, producing it across platforms and creating a culture of newsroom collaboration. Panelists are: Joyce Terhaar, Executive Editor Sacramento Bee; George Stanley, Managing Editor, The Milwaukee Sentinel and Jonathan Mitchell, Vice President of News at NBC Bay Area. *Moderated by Manny Garcia, Naples Daily NewsThree award-winning newsroom leaders provide practical advice – and take your questions – on how to deliver greater investigative stories and protect your franchise at a time when news operations face disruptions and other competitive challenges. Among the topics:  growing your I-team, identifying the project with impact, producing it across platforms and creating a culture of newsroom collaboration. Panelists are: Joyce Terhaar, Executive Editor Sacramento Bee; George Stanley, Managing Editor, The Milwaukee Sentinel and Jonathan Mitchell, Vice President of News at NBC Bay Area. ","Jonathan Mitchell, George Stanley, Manny Garcia, Joyce Terhaar",Salon 4-6,9:40 a.m. - 10:40 a.m.
Campus coverage: Sexual assault and other crimes on campus (Sponsored by Lumina Foundation),http://ire.org/events-and-training/event/975/1311/,"*Moderated by Jill Riepenhoff, The Columbus Dispatch
From Florida State to the University of Oregon to thousands of campuses in between, sexual assault is a widely discussed topic on campus. Learn how to make sense of baffling crime statistics and where to look for documents that really explain how your campus handles these crimes. And learn how to point out the woeful failures of some police and university officials. *Moderated by Jill Riepenhoff, The Columbus DispatchFrom Florida State to the University of Oregon to thousands of campuses in between, sexual assault is a widely discussed topic on campus. Learn how to make sense of baffling crime statistics and where to look for documents that really explain how your campus handles these crimes. And learn how to point out the woeful failures of some police and university officials. ","Walt Bogdanich, David Donald, Jill Riepenhoff, Samantha Sunne",Salon 1-3,9:40 a.m. - 10:40 a.m.
Mapping 2: Importing and overlaying data with GIS software *pre-registered attendees only,http://ire.org/events-and-training/event/975/1443/,"This is the second in a series of three classes. Those who attend all three sessions will receive a free copy of ArcGIS Desktop (PC only) from Esri. Preregistration is required as seating is limited. Sign up at the conference registration from 1:30 - 6 p.m. Friday, June 27. Email jaimi@ire.org with questions.This is the second in a series of three classes. Those who attend all three sessions will receive a free copy of ArcGIS Desktop (PC only) from Esri. Preregistration is required as seating is limited. Sign up at the conference registration from 1:30 - 6 p.m. Friday, June 27. Email jaimi@ire.org with questions.",Jennifer LaFleur,Nob Hill C,9:40 a.m. - 10:40 a.m.
Mining immigration documents and statistics,http://ire.org/events-and-training/event/975/1387/,"Learn to unlock fascinating stories buried deep in visa statistics, human trafficking reports, court documents and other public records both in your backyard and worldwide.
This session is part of a series focusing on immigration. Two afternoon sessions, Analyzing Immigration Data Parts 1 and 2, follow the morning sessions; sign up will be available during this session.
Sponsored by the McCormick Foundation.Learn to unlock fascinating stories buried deep in visa statistics, human trafficking reports, court documents and other public records both in your backyard and worldwide.This session is part of a series focusing on immigration. Two afternoon sessions, Analyzing Immigration Data Parts 1 and 2, follow the morning sessions; sign up will be available during this session.Sponsored by the McCormick Foundation.","Lise Olsen, Martha Mendoza",Salon 12-13,10:50 a.m. - 11:50 a.m.
Broadcast: Interviewing,http://ire.org/events-and-training/event/975/1406/,"From the network to the local newsroom, discover the art of the broadcast interview.  Learn techniques for preparation and execution so you can get the most out of scheduled and unscheduled interviews. You’ll get tips and strategies for handling tough situations in this session.From the network to the local newsroom, discover the art of the broadcast interview.  Learn techniques for preparation and execution so you can get the most out of scheduled and unscheduled interviews. You’ll get tips and strategies for handling tough situations in this session.","Jenna Susko, Scott Zamost, Lee Zurik",Golden Gate B,10:50 a.m. - 11:50 a.m.
Mapping from the desktop to the web *pre-registered attendees only,http://ire.org/events-and-training/event/975/1444/,"Join us for a hands-on tutorial on using ArcGIS Online as a free tool to transform your desktop GIS research and other public data into interactive web maps and apps.
This is the third in a series of three classes. Those who attend all three sessions will receive a free copy of ArcGIS Desktop (PC only) from Esri. Preregistration is required as seating is limited. Sign up at the conference registration from 1:30 - 6 p.m. Friday, June 27. Email jaimi@ire.org with questions.Join us for a hands-on tutorial on using ArcGIS Online as a free tool to transform your desktop GIS research and other public data into interactive web maps and apps.This is the third in a series of three classes. Those who attend all three sessions will receive a free copy of ArcGIS Desktop (PC only) from Esri. Preregistration is required as seating is limited. Sign up at the conference registration from 1:30 - 6 p.m. Friday, June 27. Email jaimi@ire.org with questions.",Robby Deming,Nob Hill C,10:50 a.m. - 11:50 a.m.
"Learn how to set up Off the Record chat (OTR), the easiest way to use encryption (Sponsored by Knight Foundation)",http://ire.org/events-and-training/event/975/1424/,"In the age of NSA mass surveillance, protecting your communications with sources is now more important than ever. Bring your laptop to this hands-on session, learn how encryption works, and then get a tutorial on how set up OTR chat with the help of experts, so you can keep your future sources safe.In the age of NSA mass surveillance, protecting your communications with sources is now more important than ever. Bring your laptop to this hands-on session, learn how encryption works, and then get a tutorial on how set up OTR chat with the help of experts, so you can keep your future sources safe.","Garrett Robinson, Yan Zhu",Nob Hill AB,10:50 a.m. - 11:50 a.m.
Under pressure: Real life in real time with breaking news,http://ire.org/events-and-training/event/975/1449/,"What do you do when a bridge collapses, a plane crashes, oil spills or a building explodes? In this session you'll walk through a real-life breaking news scenario tackling it as an investigator. We’ll let you try it on your own then we’ll walk you through some resources you might not have known existed. Beat your competition with these tips and sources. Be ready to participate in real time, actual breaking news simulation!What do you do when a bridge collapses, a plane crashes, oil spills or a building explodes? In this session you'll walk through a real-life breaking news scenario tackling it as an investigator. We’ll let you try it on your own then we’ll walk you through some resources you might not have known existed. Beat your competition with these tips and sources. Be ready to participate in real time, actual breaking news simulation!",Stephen Stock,Nob Hill D,10:50 a.m. - 11:50 a.m.
Managers track: Placing your bets - Choosing the right stories,http://ire.org/events-and-training/event/975/1312/,"*Moderated by Mark Katches, The Center for Investigative Reporting
Editors from small and larger newsrooms discuss how they make the all-important decisions about which investigations to pursue. What’s the selection criteria for placing the winning bets? How does potential impact factor into the equation? And once you make the decisions to move forward, how do you navigate the twists and turns to produce the best work possible?*Moderated by Mark Katches, The Center for Investigative ReportingEditors from small and larger newsrooms discuss how they make the all-important decisions about which investigations to pursue. What’s the selection criteria for placing the winning bets? How does potential impact factor into the equation? And once you make the decisions to move forward, how do you navigate the twists and turns to produce the best work possible?","Marc Duvoisin, Stephen Engelberg, Evelyn Larrubia, Mark Katches",Salon 1-3,10:50 a.m. - 11:50 a.m.
Investigating in a small town (Sponsored by Texas Center for Community Journalism),http://ire.org/events-and-training/event/975/1330/,"*Moderated by Tommy Thomason, Texas Center for Community Journalism
How do you conduct investigations when you have limited funds and an already-overworked small staff of reporters?  This panel will show that it can be done – and how.  Some of America’s best-known community journalists -- one has been featured on 60 Minutes and all have won awards in their states for investigative reporting – will share their stories and the price they had to pay for pursuing important investigations.*Moderated by Tommy Thomason, Texas Center for Community JournalismHow do you conduct investigations when you have limited funds and an already-overworked small staff of reporters?  This panel will show that it can be done – and how.  Some of America’s best-known community journalists -- one has been featured on 60 Minutes and all have won awards in their states for investigative reporting – will share their stories and the price they had to pay for pursuing important investigations.","Tim Crews, Kathy Cruz, Samantha Swindler, Tommy Thomason",Salon 4-6,10:50 a.m. - 11:50 a.m.
Spiked! When media managers can't handle the truth,http://ire.org/events-and-training/event/975/1369/,"*Moderated by Charles Lewis, Investigative Reporting Workshop
Internal media censorship has always been the bane of investigative reporters' existence everywhere and this problem has certainly not improved in the past 20 years. Four veterans will recount their own close encounters of the worst kind, their stories being spiked, and explore the broader implications of this occupational hazard.*Moderated by Charles Lewis, Investigative Reporting WorkshopInternal media censorship has always been the bane of investigative reporters' existence everywhere and this problem has certainly not improved in the past 20 years. Four veterans will recount their own close encounters of the worst kind, their stories being spiked, and explore the broader implications of this occupational hazard.","Walt Bogdanich, Frank Koughan, Martin Koughan, Charles Lewis",Salon 10-11,10:50 a.m. - 11:50 a.m.
On the beat: Healthcare,http://ire.org/events-and-training/event/975/1352/,"*Moderated by Mark Rochester, Pittsburgh Post-Gazette
In this session, learn how to develop strategies for building key sources on the health beat, gathering and maintaining useful data and tactics for routinely delivering watchdog reporting on the healthcare industry.*Moderated by Mark Rochester, Pittsburgh Post-GazetteIn this session, learn how to develop strategies for building key sources on the health beat, gathering and maintaining useful data and tactics for routinely delivering watchdog reporting on the healthcare industry.","Jennifer Levitz, Joseph Neff, Mark Rochester, Christina Jewett",Club Room,10:50 a.m. - 11:50 a.m.
IRE Awards Luncheon featuring keynote speaker Lowell Bergman of UC Berkeley’s Investigative Reporting Program,http://ire.org/events-and-training/event/975/1464/,"A highlight of the IRE conference, the IRE Awards Luncheon begins at noon Saturday in Salon 7,8,9. We will present the 2013 IRE Awards and salute some of the best investigative work of the past year.  
Admission to the luncheon is included with your conference registration.  Guest tickets can be purchased for $60. Purchase additional guest tickets.  Guest tickets will be available for pick-up at the IRE Sales Table on the Lower B2 Level of the San Francisco Marriott Marquis beginning Wednesday, June 25 at 3 p.m.A highlight of the IRE conference, the IRE Awards Luncheon begins at noon Saturday in Salon 7,8,9. We will present the 2013 IRE Awards and salute some of the best investigative work of the past year.  Admission to the luncheon is included with your conference registration.  Guest tickets can be purchased for $60. Purchase additional guest tickets.  Guest tickets will be available for pick-up at the IRE Sales Table on the Lower B2 Level of the San Francisco Marriott Marquis beginning Wednesday, June 25 at 3 p.m.",TBA,"Salon 7,8,9",noon - 2 p.m.
Analyzing immigration data 1,http://ire.org/events-and-training/event/975/1450/,"Mapping Boot Camp on how to use open tools to create maps/visualizations for immigration stories that follow the morning session of Introduction to multimedia immigration storytelling and U.S. Census data
This session is part of a series focusing on immigration. Pre-registered attendees will receive priority seating.  
Sponsored by the McCormick Foundation.
 Mapping Boot Camp on how to use open tools to create maps/visualizations for immigration stories that follow the morning session of Introduction to multimedia immigration storytelling and U.S. Census dataThis session is part of a series focusing on immigration. Pre-registered attendees will receive priority seating.  Sponsored by the McCormick Foundation. ",Claudia Nunez,Nob Hill D,2:30 p.m. - 3:30 p.m.
Turn your addresses into mappable points,http://ire.org/events-and-training/event/975/1445/,"Have you ever received data that included addresses? In this session we'll talk about when it helps to display those addresses on a map, show you how to do it using free services and discuss checking for accuracy and avoiding potential traps and pitfalls.Have you ever received data that included addresses? In this session we'll talk about when it helps to display those addresses on a map, show you how to do it using free services and discuss checking for accuracy and avoiding potential traps and pitfalls.","Liz Lucas, Denise Malan",Nob Hill C,2:30 p.m. - 3:30 p.m.
On the beat: Law enforcement,http://ire.org/events-and-training/event/975/1331/,"*Moderated by John Diedrich, Milwaukee Journal Sentinel
Covering law enforcement isn’t just for newbies. Veteran reporters know investigations lurk everywhere on this target-rich beat. This pragmatic panel will provide tips and strategies, such as how to find records and sources in surprising places; scrutinize often-unquestioned crime data; turn a breaking story into an investigation; use cop beat tips and tactics to find other stories; and uncover misconduct, from local cops to federal agents.*Moderated by John Diedrich, Milwaukee Journal SentinelCovering law enforcement isn’t just for newbies. Veteran reporters know investigations lurk everywhere on this target-rich beat. This pragmatic panel will provide tips and strategies, such as how to find records and sources in surprising places; scrutinize often-unquestioned crime data; turn a breaking story into an investigation; use cop beat tips and tactics to find other stories; and uncover misconduct, from local cops to federal agents.","Frances Robles, Jodi Upton, Jaxon Van Derbeken, John Diedrich",Salon 10-11,2:30 p.m. - 3:30 p.m.
The art of storytelling: Building chemistry,http://ire.org/events-and-training/event/975/1353/,"When it comes to investigative projects, storytelling too often takes a back seat to reporting. In this session, two reporter-editor teams will discuss how they worked through the conceptualizing and writing of two recent investigations: In God’s Name (tampabay.com/faccca) and Supplement Shell Game (supplements.usatoday.com). They’ll share tips for better collaborative storytelling, techniques for sharpening writing, approaches to storytelling on multiple platforms and building a positive reporter/editor relationship.When it comes to investigative projects, storytelling too often takes a back seat to reporting. In this session, two reporter-editor teams will discuss how they worked through the conceptualizing and writing of two recent investigations: In God’s Name (tampabay.com/faccca) and Supplement Shell Game (supplements.usatoday.com). They’ll share tips for better collaborative storytelling, techniques for sharpening writing, approaches to storytelling on multiple platforms and building a positive reporter/editor relationship.","John Hillkirk, Alison Young, Alexandra Zayas, Chris Davis",Club Room,2:30 p.m. - 3:30 p.m.
Collaboration: Bringing students into your investigation,http://ire.org/events-and-training/event/975/1314/,"*Moderated by Brant Houston, University of Illinois
This panel will look at the best ways to include students in investigations, what the expectations should be for the editors, reporters and students, and how to ensure students fully participate while avoiding errors and too much time spent on training.*Moderated by Brant Houston, University of IllinoisThis panel will look at the best ways to include students in investigations, what the expectations should be for the editors, reporters and students, and how to ensure students fully participate while avoiding errors and too much time spent on training.","Andy Hall, Nick Penzenstadler, Brant Houston, Lauren Mills",Salon 4-6,2:30 p.m. - 3:30 p.m.
Story-based inquiry (part 1),http://ire.org/events-and-training/event/975/1388/,"Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)
The separate steps of investigative reporting can be integrated into a single process, with tremendous gains in time, accuracy and confidence. We begin by forming an investigative hypothesis. Then, we deconstruct the hypothesis to find paths for verification. Two further tools illuminate the paths: a source map and a timeline. By using them together, we anticipate where to find key human sources and records. We also structure the story as we verify it.Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)The separate steps of investigative reporting can be integrated into a single process, with tremendous gains in time, accuracy and confidence. We begin by forming an investigative hypothesis. Then, we deconstruct the hypothesis to find paths for verification. Two further tools illuminate the paths: a source map and a timeline. By using them together, we anticipate where to find key human sources and records. We also structure the story as we verify it.","Mark Lee Hunter, Luuk Sengers",Salon 12-13,2:30 p.m. - 3:30 p.m.
Using Twitter data to tell stories (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1425/,"With the millions of tweets being sent on Twitter everyday, the platform can help tell stories on a grander scale. Learn the ways news organizations are using Twitter data to find and share news stories and how you can get started right now.With the millions of tweets being sent on Twitter everyday, the platform can help tell stories on a grander scale. Learn the ways news organizations are using Twitter data to find and share news stories and how you can get started right now.","Simon Rogers, Scott Hendrickson",Nob Hill AB,2:30 p.m. - 3:30 p.m.
Managers track: Collaboration dreams & nightmares - How to sleep soundly when dealing with partners,http://ire.org/events-and-training/event/975/1313/,"*Moderated by Robin Fields, ProPublica
Collaboration was once a rarity in investigations, an area known more for shark-like competition. Today, however, partnerships are multiplying. The best of them yield deeper, better journalism that resonates across multiple platforms. The worst can make the already hard work of doing investigative stories even harder – and land you on Romenesko. Our speakers tell you how to grab the glories and anticipate (and, we hope, avoid!) the pitfalls.*Moderated by Robin Fields, ProPublicaCollaboration was once a rarity in investigations, an area known more for shark-like competition. Today, however, partnerships are multiplying. The best of them yield deeper, better journalism that resonates across multiple platforms. The worst can make the already hard work of doing investigative stories even harder – and land you on Romenesko. Our speakers tell you how to grab the glories and anticipate (and, we hope, avoid!) the pitfalls.","Raney Aronson-Rath, Michelle Holmes, Jim Brady, Robin Fields",Salon 1-3,2:30 p.m. - 3:30 p.m.
Broadcast: Web collaborations,http://ire.org/events-and-training/event/975/1401/,"You’ve got a killer investigation and you want the world to know. We’ll show you how partnering with your web/digital team can help develop sources, generate buzz and extend the life of your investigative stories long after they’ve aired.You’ve got a killer investigation and you want the world to know. We’ll show you how partnering with your web/digital team can help develop sources, generate buzz and extend the life of your investigative stories long after they’ve aired.","Sara Catania, Joel Grover, Lee Ferran, Russ Walker",Golden Gate B,2:30 p.m. - 3:30 p.m.
Story-based inquiry (part 2),http://ire.org/events-and-training/event/975/1389/,"Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)
Investigation generates more material than news reporting – so you have to organize it as you proceed, or lose the value of your work. We will show you how to create a database from your research, and then how to shape this database into a narrative structure. These processes make your work more efficient, and your product more accurate. Then, we discuss specific techniques to manage the momentum and impact of the narrative. 
 Using a free Firefox add-on, and some simple code that anyone can understand (it's practically plain English), we'll learn how to ""interview"" sprawling datasets to find strong reporting leads, using data from this story. (Or in geek-speak: An introduction to SQLite databases.)Investigation generates more material than news reporting – so you have to organize it as you proceed, or lose the value of your work. We will show you how to create a database from your research, and then how to shape this database into a narrative structure. These processes make your work more efficient, and your product more accurate. Then, we discuss specific techniques to manage the momentum and impact of the narrative.  ","Mark Lee Hunter, Luuk Sengers",Salon 12-13,3:40 p.m. - 4:40 p.m.
Friendly fire: Investigating do-gooders and crowd-pleasers,http://ire.org/events-and-training/event/975/1370/,"What happens when a reporter investigates a beloved institution, a popular non-profit or a group of do-gooders? How does the community – both real and virtual – respond?Edgar A. Poe award winner Megan Twohey and Pulitzer Prize winner Sarah Ganim will talk about the pressures, difficulties and rewards of investigating sacred cows. Among the topics:  How to find and report these stories, what to expect after you publish and how to deal with personal and professional attacks.What happens when a reporter investigates a beloved institution, a popular non-profit or a group of do-gooders? How does the community – both real and virtual – respond?Edgar A. Poe award winner Megan Twohey and Pulitzer Prize winner Sarah Ganim will talk about the pressures, difficulties and rewards of investigating sacred cows. Among the topics:  How to find and report these stories, what to expect after you publish and how to deal with personal and professional attacks.","Melanie Payne, Megan Twohey, Sara Ganim, Bobby Calvan, Mc Nelly Torres",Salon 1-3,3:40 p.m. - 4:40 p.m.
Investigating organized crime,http://ire.org/events-and-training/event/975/1345/,"*Moderated by David Kaplan, Global Investigative Journalism Network
It ain’t your father’s Mob. In the 21st Century, organized crime is networked, globalized, cyber-savvy, and able to move money, people, and contraband across borders with impunity. No wonder crime syndicates are dancing circles around law enforcement and the media. Here’s a look at how to investigate cartels, rogue states, and criminal enterprises around the world – from a panel with decades of experience in going after them.*Moderated by David Kaplan, Global Investigative Journalism NetworkIt ain’t your father’s Mob. In the 21st Century, organized crime is networked, globalized, cyber-savvy, and able to move money, people, and contraband across borders with impunity. No wonder crime syndicates are dancing circles around law enforcement and the media. Here’s a look at how to investigate cartels, rogue states, and criminal enterprises around the world – from a panel with decades of experience in going after them.","Jesus Ibarra, Stevan Dojcinovic, Drew Sullivan, David Kaplan",Salon 10-11,3:40 p.m. - 4:40 p.m.
Learn how to set up PGP email encryption (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1427/,"It's the type of encryption Edward Snowden first used to contact Glenn Greenwald. And it's the type of knowledge every journalist should know, but few have. Bring your laptop to this hands-on session, learn how PGP email encryption works, and then get a tutorial on how set up it up with the help of experts, so you can keep your future sources safe. It's the type of encryption Edward Snowden first used to contact Glenn Greenwald. And it's the type of knowledge every journalist should know, but few have. Bring your laptop to this hands-on session, learn how PGP email encryption works, and then get a tutorial on how set up it up with the help of experts, so you can keep your future sources safe. ","Garrett Robinson, Yan Zhu",Nob Hill AB,3:40 p.m. - 4:40 p.m.
"Investigating powerful institutions, inside & out",http://ire.org/events-and-training/event/975/1332/,"*Moderated by James Grimaldi, The Wall Street Journal
Get real-world tips on how to investigate powerful institutions from a white-collar defense lawyer who has seen it from the inside, and two reporters who have done it from the outside. Where are the access points when companies and politicians circle the wagons? Where are the useful documents and sources hidden? How do you get past ""no comment"" once lawyers and flacks get involved? And how do you bullet-proof stories and prepare for the pushback?*Moderated by James Grimaldi, The Wall Street JournalGet real-world tips on how to investigate powerful institutions from a white-collar defense lawyer who has seen it from the inside, and two reporters who have done it from the outside. Where are the access points when companies and politicians circle the wagons? Where are the useful documents and sources hidden? How do you get past ""no comment"" once lawyers and flacks get involved? And how do you bullet-proof stories and prepare for the pushback?","Matt Apuzzo, Ross Garber, James Grimaldi",Salon 4-6,3:40 p.m. - 4:40 p.m.
Lessons from the field (and off): Covering the NFL and its intersection with local governments,http://ire.org/events-and-training/event/975/1354/,"*Moderated by Steve Fainaru, ESPN
The National Football League administers the richest, most popular sport in America. Its power and reach gives it enormous influence over local governments, public health issues and the media. With the NFL embroiled in litigation over its handling of football-related concussions and thousands of parents forcing their kids to abandon the sport over health concerns, this panel explores how to cover this highly secretive organization on issues ranging from stadium financing to off-the field violence and examines the sources of the NFL's power.*Moderated by Steve Fainaru, ESPNThe National Football League administers the richest, most popular sport in America. Its power and reach gives it enormous influence over local governments, public health issues and the media. With the NFL embroiled in litigation over its handling of football-related concussions and thousands of parents forcing their kids to abandon the sport over health concerns, this panel explores how to cover this highly secretive organization on issues ranging from stadium financing to off-the field violence and examines the sources of the NFL's power.","Liam Dillon, Brent Schrotenboer, Don Van Natta Jr., Steve Fainaru",Club Room,3:40 p.m. - 4:40 p.m.
Everyday scripting,http://ire.org/events-and-training/event/975/1446/,"There are everyday data munging tasks that you can automate with just a little bit of programming know-how. This class is geared towards more seasoned data analysts. Those that know how to use things like functions and stored procedures to process data. But beginners are welcome. We'll use python and the Ipython Notebook to roll through some code and I'll have other example scripts posted on Github for reference when you get ready to apply these techniques in your everyday work. So stop by, have some fun and get ready to work more accurately and efficiently.This session will be most useful if: You have some data experience including functions and store procedures to process data, but beginners are welcome.There are everyday data munging tasks that you can automate with just a little bit of programming know-how. This class is geared towards more seasoned data analysts. Those that know how to use things like functions and stored procedures to process data. But beginners are welcome. We'll use python and the Ipython Notebook to roll through some code and I'll have other example scripts posted on Github for reference when you get ready to apply these techniques in your everyday work. So stop by, have some fun and get ready to work more accurately and efficiently.This session will be most useful if: You have some data experience including functions and store procedures to process data, but beginners are welcome.",Agustin Armendariz,Nob Hill C,3:40 p.m. - 4:40 p.m.
Broadcast: Breaking news,http://ire.org/events-and-training/event/975/1408/,"When big news breaks and the bosses ask you to lend your investigative expertise, how do you respond?  Leave the “what is happening” to the on-air people. The investigator’s role is to dive head-first into “How did this happen”? “Where else might this happen again”?  “How do we keep this from happening again”? This panel of veteran investigators will show real world examples of how they were able to contribute on a big story and why tragedy demands action, answers and results. You’ll also learn how to be a resource for the rest of the newsroom and uncover quick facts that will add depth to the breaking story (and details your competitors won't have). When big news breaks and the bosses ask you to lend your investigative expertise, how do you respond?  Leave the “what is happening” to the on-air people. The investigator’s role is to dive head-first into “How did this happen”? “Where else might this happen again”?  “How do we keep this from happening again”? This panel of veteran investigators will show real world examples of how they were able to contribute on a big story and why tragedy demands action, answers and results. You’ll also learn how to be a resource for the rest of the newsroom and uncover quick facts that will add depth to the breaking story (and details your competitors won't have). ","Andrew Blankstein, Jodie Fleischer, Brett Shipp",Golden Gate B,3:40 p.m. - 4:40 p.m.
Analyzing immigration data 2,http://ire.org/events-and-training/event/975/1451/,"Mapping Boot Camp on how to use open tools to create maps/visualizations for immigration stories that follow the morning session of Introduction to multimedia immigration storytelling and U.S. Census data
This session is part of a series focusing on immigration. Pre-registered attendees will receive priority seating.  
Sponsored by the McCormick Foundation.Mapping Boot Camp on how to use open tools to create maps/visualizations for immigration stories that follow the morning session of Introduction to multimedia immigration storytelling and U.S. Census dataThis session is part of a series focusing on immigration. Pre-registered attendees will receive priority seating.  Sponsored by the McCormick Foundation.",Claudia Nunez,Nob Hill D,3:40 p.m. - 4:40 p.m.
IRE by design (hands-on),http://ire.org/events-and-training/event/975/1507/,"Even with more than 150 sessions, we often hear from attendees who wish we'd had just one more session on a topic we missed; or that we'd been able to get this fantastic journalist who they met the night before to speak; or who lament the fact that an idea was brought up in one session that really should be given more time.
So this year, we saved some space in the program to try and rectify that. On Saturday afternoon, we've set aside five panel sessions and both hands-on rooms, and we're asking you to design the programming.
You'll be able to go online and propose a panel – topic and speakers. Your fellow attendees will vote for the sessions they want to see, and we'll hold the top vote-getters on Saturday afternoon.
Here's how it'll work:
Starting Thursday (June 26) at 9 a.m. and ending Friday night, pitch a panel (or two). Give enough detail so others will know what it'll be about, and let us know who'll speak (no more than 3 speakers and a moderator please; fewer is fine). If it's a hands-on session, it should be a skill that can be taught in an hour with software available on the computers or online. If you're including other speakers, make sure they're willing.
All Saturday morning, all attendees can vote for the sessions they like. You can vote for as many as you like.
We'll announce the top vote-getters at the awards luncheon and post them on the IRE website and at the registration desk.Even with more than 150 sessions, we often hear from attendees who wish we'd had just one more session on a topic we missed; or that we'd been able to get this fantastic journalist who they met the night before to speak; or who lament the fact that an idea was brought up in one session that really should be given more time.So this year, we saved some space in the program to try and rectify that. On Saturday afternoon, we've set aside five panel sessions and both hands-on rooms, and we're asking you to design the programming.You'll be able to go online and propose a panel – topic and speakers. Your fellow attendees will vote for the sessions they want to see, and we'll hold the top vote-getters on Saturday afternoon.Here's how it'll work:Starting Thursday (June 26) at 9 a.m. and ending Friday night, pitch a panel (or two). Give enough detail so others will know what it'll be about, and let us know who'll speak (no more than 3 speakers and a moderator please; fewer is fine). If it's a hands-on session, it should be a skill that can be taught in an hour with software available on the computers or online. If you're including other speakers, make sure they're willing.All Saturday morning, all attendees can vote for the sessions they like. You can vote for as many as you like.We'll announce the top vote-getters at the awards luncheon and post them on the IRE website and at the registration desk.",TBA,Nob Hill C & D,4:40 p.m. - 5:40 p.m.
